物件番号,物件名,取引種別,物件種別,募集状況,都県,エリア（市区）,所在地,交通,月額賃料(円),共益費(円),敷金(ヶ月),礼金(ヶ月),販売価格(円),表面利回り(%),権利形態,契約期間,面積(坪),階数,建物階数,築年,構造,用途地域,建ぺい率(%),容積率(%),私道負担,建築確認番号,こだわり条件,用途,入居可能時期・引渡し時期,情報更新日,物件説明
CMP-1012,三軒茶屋 2F スクール・サロン向け,賃貸,店舗,成約済,東京都,世田谷区,東京都世田谷区太子堂四丁目,東急田園都市線|三軒茶屋|4,320000,20000,8,0,,,,5年（定期借家）,19.8,2F,5,1999,RC造,,,,,,駅徒歩5分以内;エレベーターあり;看板設置可,サービス;スクール;クリニック,2026年9月,2026-05-23,三軒茶屋駅から徒歩4分、住宅地と商店街の接点にある2階区画。地域密着型のサロン・教室・治療院に適したサイズと賃料水準です。
CMP-1013,日本橋室町 オフィス 4F（分割可）,賃貸,オフィス,募集中,東京都,中央区,東京都中央区日本橋室町三丁目,東京メトロ銀座線|三越前|3;JR総武快速線|新日本橋|4,1180000,88000,12,0,,,,5年（定期借家）,52.5,4F,11,2008,S造,,,,,,駅徒歩5分以内;エレベーターあり;24時間利用可,事務所,即入居可,2026-05-18,日本橋室町の再開発エリアに隣接するオフィスビル4階。約26坪ずつの分割貸しにも対応可能です。金融・法務系のテナントが多く入居しています。
CMP-1014,錦糸町 大型飲食区画 1F・B1F,賃貸,店舗,商談中,東京都,墨田区,東京都墨田区江東橋三丁目,JR総武線|錦糸町|3;東京メトロ半蔵門線|錦糸町|5,1250000,90000,10,0,,,,2年（普通借家）,68,1F・B1F,6,1994,SRC造,,,,,,1階路面;居抜き;飲食可;深夜営業可;駅徒歩5分以内,飲食店,相談,2026-05-13,錦糸町駅南口の繁華街に位置する1階＋地下1階の大型飲食区画です。前テナントは大箱居酒屋で、厨房・客席什器の一部を引き継げます。宴会需要の見込める立地。
CMP-1015,大井町 事業用地（約180坪）,賃貸,事業用地,募集中,東京都,品川区,東京都品川区東大井五丁目,JR京浜東北線|大井町|8,1450000,0,6,0,,,,3年（普通借家）,182,—,0,,更地,,,,,,駐車場あり;24時間利用可,店舗;駐車場;事業用建物,2026年12月,2026-05-08,幹線道路に接道する約180坪の事業用地です。建築条件なしの定期借地でのご提案が可能。ロードサイド店舗・コインパーキング・事業所建設などの用途を想定しています。
CMP-1016,恵比寿 デザイナーズオフィス 3F,賃貸,オフィス,募集中,東京都,渋谷区,東京都渋谷区恵比寿西一丁目,JR山手線|恵比寿|4;東京メトロ日比谷線|恵比寿|5,940000,60000,10,0,,,,2年（普通借家）,38.4,3F,6,2018,RC造,,,,,,セットアップ;駅徒歩5分以内;エレベーターあり;空調更新済,事務所;ショールーム,即入居可,2026-07-28,恵比寿駅西口から徒歩4分、築浅のデザイナーズビル3階区画。天井現し・大開口サッシで採光良好。クリエイティブ職やショールーム併設のオフィス利用に適します。
CMP-1017,田町 ロードサイド倉庫兼事務所,賃貸,倉庫・工場,募集中,東京都,港区,東京都港区芝浦四丁目,JR山手線|田町|11,1380000,0,6,0,,,,5年（定期借家）,120,1F・2F,2,2001,S造,,,,,,駐車場あり;24時間利用可,倉庫;事務所;軽作業,即入居可,2026-04-28,1階倉庫＋2階事務所の一体利用が可能な物件です。都心配送の拠点として利便性が高く、シャッター高3.5m、2t車の接車が可能。駐車スペース3台分付き。
CMP-1018,神保町 古書店街 1F小型区画,賃貸,店舗,募集中,東京都,千代田区,東京都千代田区神田神保町二丁目,都営三田線|神保町|3;東京メトロ半蔵門線|神保町|3,265000,18000,10,0,,,,2年（普通借家）,11.2,1F,5,1988,RC造,,,,,,1階路面;スケルトン;駅徒歩5分以内;看板設置可,物販;カフェ;ギャラリー,即入居可,2026-04-23,神保町の古書店街に面した11坪の1階区画です。小型のカフェ・ギャラリー・セレクトショップに適したサイズ感で、周辺は文化的な回遊性の高いエリアです。
CMP-1019,新橋 飲食ビル 3F 居抜き,賃貸,店舗,成約済,東京都,港区,東京都港区新橋三丁目,JR各線|新橋|4;都営浅草線|新橋|3,430000,30000,10,0,,,,2年（普通借家）,24,3F,8,1990,SRC造,,,,,,居抜き;飲食可;深夜営業可;駅徒歩5分以内;エレベーターあり,飲食店,即入居可,2026-04-18,新橋の飲食ビル3階、和食業態の居抜き区画です。厨房・カウンター・個室をそのまま利用でき、開業までの期間を大幅に短縮できます。ビル全体が飲食テナントで構成されています。
CMP-1020,豊洲 大型オフィス ワンフロア,賃貸,オフィス,募集中,東京都,江東区,東京都江東区豊洲三丁目,東京メトロ有楽町線|豊洲|5;ゆりかもめ|豊洲|5,4200000,0,12,0,,,,3年（普通借家）,240,14F,24,2013,S造,,,,,,駅徒歩5分以内;エレベーターあり;24時間利用可;空調更新済,事務所,2027年1月,2026-04-13,豊洲エリアの大規模オフィスビル、基準階240坪のワンフロア区画です。無柱空間・OAフロア150mm・個別空調。BCP対応の非常用発電機を備えます。本社機能の集約に適した規模です。
CMP-1021,下北沢 2F カフェ居抜き,賃貸,店舗,募集中,東京都,世田谷区,東京都世田谷区北沢二丁目,京王井の頭線|下北沢|3;小田急線|下北沢|4,298000,22000,8,0,,,,2年（普通借家）,17.5,2F,4,1997,RC造,,,,,,居抜き;飲食可;駅徒歩5分以内,飲食店;カフェ,即入居可,2026-04-08,下北沢駅から徒歩3分、カフェ居抜きの2階区画です。厨房設備・カウンター・客席什器付き。若年層の回遊が多く、個性のある業態と親和性の高いエリアです。
CMP-1022,押上 一棟ビル（テナント付き）,賃貸,一棟ビル,募集中,東京都,墨田区,東京都墨田区押上一丁目,東京メトロ半蔵門線|押上|6,1780000,0,10,0,,,,5年（定期借家）,88,1F-5F,5,2005,RC造,,,,,,1階路面;エレベーターあり;看板設置可,事務所;店舗;複合,相談,2026-04-03,東京スカイツリーまで徒歩圏の5層一棟ビル。現況で2フロアにテナントが入居しており、収益を確保しながらの取得・一棟借りが可能です。1階は路面店舗として稼働中。
CMP-1023,高田馬場 スクール向け 3F,賃貸,オフィス,募集中,東京都,新宿区,東京都新宿区高田馬場二丁目,JR山手線|高田馬場|5;西武新宿線|高田馬場|5,520000,38000,10,0,,,,2年（普通借家）,32,3F,7,1995,SRC造,,,,,,駅徒歩5分以内;エレベーターあり;看板設置可,スクール;事務所;サービス,2026年9月,2026-03-29,学生の多い高田馬場エリア、駅徒歩5分の3階区画です。教室利用を想定した間取りで、スクール・予備校・研修施設に適します。
CMP-1024,築地 生鮮対応 1F区画,賃貸,店舗,募集中,東京都,中央区,東京都中央区築地六丁目,東京メトロ日比谷線|築地|7;都営大江戸線|築地市場|5,560000,42000,10,0,,,,3年（普通借家）,26.3,1F,6,2002,RC造,,,,,,1階路面;居抜き;飲食可;看板設置可,飲食店;物販,即入居可,2026-07-27,築地エリアの1階路面区画です。給排水・グリストラップ完備で生鮮を扱う業態にも対応。観光需要と近隣オフィス需要の両方を取り込める立地です。
CMP-2001,神田錦町 一棟オフィスビル（満室稼働中）,売買,一棟ビル,募集中,東京都,千代田区,東京都千代田区神田錦町二丁目,東京メトロ半蔵門線|神保町|5;都営新宿線|小川町|6,,,,,980000000,4.2,所有権,,420,1F-8F,8,2007,SRC造,商業地域,80,500,,,駅徒歩5分以内;エレベーターあり;24時間利用可,事務所;店舗,相談,2026-07-31,神保町・小川町の2駅が使える立地の一棟オフィスビルです。現況は満室稼働中で、テナントは事務所5社と1階店舗1店。長期入居のテナントが中心で稼働は安定しています。レントロール・修繕履歴は個別にご開示します。
CMP-2002,日本橋 区分オフィス 7F（投資用）,売買,オフィス,募集中,東京都,中央区,東京都中央区日本橋本町三丁目,JR総武快速線|新日本橋|3;東京メトロ銀座線|三越前|5,,,,,168000000,4.6,所有権,,48.5,7F,12,2012,S造,近隣商業地域,80,400,,,駅徒歩5分以内;エレベーターあり;空調更新済,事務所,2026年10月,2026-07-28,日本橋エリアの区分所有オフィスです。現テナントは賃貸借契約継続中で、オーナーチェンジでの引渡しとなります。管理体制の整ったビルで、初めての区分投資にも適した規模です。
CMP-2003,表参道 路面店舗ビル（3層）,売買,一棟ビル,募集中,東京都,港区,東京都港区南青山五丁目,東京メトロ銀座線|表参道|4,,,,,1450000000,3.4,所有権,,186,1F-3F,3,2014,RC造,商業地域,80,400,,,1階路面;駅徒歩5分以内;看板設置可,店舗;物販,相談,2026-07-25,南青山の商業集積エリアに立地する3層の店舗ビルです。1階は路面店として視認性が高く、アパレル・飲食いずれの業態でも高い集客が見込めます。希少性の高い立地のため利回りは低めですが、資産性を重視する取得に向きます。
CMP-2004,大森 事業用地（約240坪・建築条件なし）,売買,事業用地,募集中,東京都,品川区,東京都品川区南大井四丁目,JR京浜東北線|大森|9,,,,,620000000,0,所有権,,240,—,0,,更地,近隣商業地域,80,300,なし,,駐車場あり,事業用建物;店舗;倉庫,即引渡し可,2026-07-22,幹線道路に接道する約240坪の事業用地です。建築条件はなく、ロードサイド店舗・物流拠点・事業所いずれの用途にも対応できます。整形地で分割検討も可能です。
CMP-2005,錦糸町 一棟店舗ビル（テナント付き）,売買,一棟ビル,商談中,東京都,墨田区,東京都墨田区江東橋四丁目,JR総武線|錦糸町|5,,,,,445000000,6.8,所有権,,168,1F-5F,5,1998,RC造,商業地域,80,500,,,1階路面;飲食可;深夜営業可;駅徒歩5分以内,飲食店;店舗,相談,2026-07-19,錦糸町駅南口の繁華街に立地する5層の店舗ビルです。飲食テナントが各階に入居しており、利回りは6%台後半。築年は経過していますが、外壁と屋上防水は改修済みです。
CMP-2006,西新宿 区分オフィス 15F（自社利用可）,売買,オフィス,募集中,東京都,新宿区,東京都新宿区西新宿七丁目,JR各線|新宿|8;東京メトロ丸ノ内線|西新宿|4,,,,,232000000,4.1,所有権,,62,15F,21,2010,S造,近隣商業地域,80,300,,,駅徒歩5分以内;エレベーターあり;24時間利用可;空調更新済,事務所,即引渡し可,2026-07-16,空室での引渡しとなるため、自社オフィスとしての利用も投資用の賃貸運用も選べます。15階からの眺望が良く、採用面でも訴求しやすい物件です。
CMP-2007,浅草 一棟ビル（インバウンド立地）,売買,一棟ビル,募集中,東京都,台東区,東京都台東区浅草二丁目,東京メトロ銀座線|浅草|6;つくばエクスプレス|浅草|4,,,,,386000000,5.9,所有権,,132,1F-4F,4,2004,RC造,商業地域,80,400,,,1階路面;飲食可;看板設置可,店舗;飲食店;宿泊,相談,2026-07-13,浅草寺周辺の観光動線上に立地する4層の一棟ビルです。物販・飲食に加え、宿泊業態への転用実績もあるエリアです。インバウンド需要の回復により周辺の店舗稼働は堅調に推移しています。
CMP-2008,中目黒 店舗付き一棟（デザイナーズ）,売買,一棟ビル,募集中,東京都,目黒区,東京都目黒区青葉台一丁目,東急東横線|中目黒|7,,,,,528000000,4.4,所有権,,148,1F-4F,4,2019,RC造,商業地域,80,700,,,1階路面;飲食可;エレベーターあり;空調更新済,店舗;事務所,相談,2026-07-10,築浅のデザイナーズ一棟ビルです。1階はカフェ、2階以上は事務所として稼働中。目黒川沿いの遊歩道に近く、感度の高い層が集まるエリアで、テナント募集にも困りにくい立地です。
CMP-2009,新木場 倉庫（自社利用向け）,売買,倉庫・工場,募集中,東京都,江東区,東京都江東区新木場一丁目,JR京葉線|新木場|15,,,,,745000000,5.2,所有権,,380,1F-2F,2,2006,S造,工業地域,60,300,,,24時間利用可;駐車場あり,倉庫;軽作業;事務所,2026年12月,2026-07-06,湾岸エリアの倉庫です。1階は荷捌き・保管、2階は事務所として利用できます。大型車の接車が可能で、都心配送の拠点として自社取得を検討される事業者様に適します。
CMP-2010,三軒茶屋 区分店舗 1F（オーナーチェンジ）,売買,店舗,募集中,東京都,世田谷区,東京都世田谷区三軒茶屋二丁目,東急田園都市線|三軒茶屋|5,,,,,96000000,5.6,所有権,,24.5,1F,6,2001,RC造,近隣商業地域,80,400,,,1階路面;飲食可;駅徒歩5分以内;看板設置可,店舗;飲食店,相談,2026-07-03,三軒茶屋の商店街沿いにある1階の区分店舗です。飲食テナントが長期入居中で、オーナーチェンジでの引渡しとなります。1億円を下回る価格帯で、収益物件の入口として検討しやすい物件です。
CMP-1025,横浜駅西口 1階路面店舗（飲食可）,賃貸,店舗,募集中,神奈川県,横浜市,神奈川県横浜市西区南幸二丁目15番1号,JR各線|横浜|4;東急東横線|横浜|5,880000,65000,10,0,,,,2年（定期借家）,32.5,1F,8,2008,SRC造,,,,,,1階路面;飲食可;深夜営業可;駅徒歩5分以内;看板設置可,飲食店;物販,即入居可,2026-08-01,横浜駅西口の繁華街に面した1階路面店舗です。前面道路の歩行者通行量が多く、視認性の高い間口を確保しています。重飲食も相談可能で、深夜営業の実績もあるビルです。
CMP-1026,川崎駅前 オフィス 6F（セットアップ）,賃貸,オフィス,募集中,神奈川県,川崎市,神奈川県川崎市川崎区駅前本町,JR東海道線|川崎|3;京急本線|京急川崎|6,1120000,84000,10,0,,,,2年（定期借家）,78,6F,12,2013,S造,,,,,,セットアップ;駅徒歩5分以内;エレベーターあり;24時間利用可;空調更新済,事務所,2026年9月,2026-07-29,川崎駅から徒歩3分のセットアップオフィスです。会議室2室とフリーアドレス席が施工済みで、内装工事なしで入居できます。東京都心へのアクセスも良く、支店開設に適します。
CMP-1027,大宮駅東口 路面店舗（居抜き）,賃貸,店舗,募集中,埼玉県,さいたま市,埼玉県さいたま市大宮区宮町一丁目60番地,JR各線|大宮|5,620000,45000,10,1,,,,3年（普通借家）,26,1F,5,2003,RC造,,,,,,1階路面;居抜き;飲食可;駅徒歩5分以内;看板設置可,飲食店;店舗,即入居可,2026-07-27,大宮駅東口の商店街沿いにある居抜き店舗です。前テナントの厨房設備・客席をそのまま引き継げるため、開業までの初期費用を抑えられます。
CMP-1028,船橋 倉庫（幹線道路沿い・大型車接車可）,賃貸,倉庫・工場,募集中,千葉県,船橋市,千葉県船橋市西浦三丁目1番地2,JR京葉線|二俣新町|12,1450000,0,6,0,,,,3年（普通借家）,420,1F-2F,2,2011,S造,,,,,,24時間利用可;駐車場あり,倉庫;軽作業;事務所,2026年10月,2026-07-24,京葉道路に近い立地の倉庫です。大型車の接車が可能なプラットフォームを備え、1階が荷捌き・保管、2階が事務所という構成です。都内配送と千葉県内配送の両方に対応できます。
CMP-1029,柏駅前 2階店舗（スケルトン）,賃貸,店舗,商談中,千葉県,柏市,千葉県柏市柏一丁目,JR常磐線|柏|3;東武アーバンパークライン|柏|3,450000,32000,10,0,,,,3年（普通借家）,28,2F,6,1999,RC造,,,,,,スケルトン;飲食可;駅徒歩5分以内;看板設置可,飲食店;サービス,相談,2026-07-21,柏駅東口のペデストリアンデッキに近い2階店舗です。スケルトン渡しのため、業態に合わせた自由な内装計画が可能です。物販・サービス業でも相談を承ります。
CMP-1030,川口 工場・倉庫（電力容量に余裕）,賃貸,倉庫・工場,募集中,埼玉県,川口市,埼玉県川口市領家四丁目,JR京浜東北線|川口|18,980000,0,6,0,,,,2年（普通借家）,265,1F,1,2005,S造,,,,,,24時間利用可;駐車場あり,工場;倉庫;軽作業,即入居可,2026-07-18,川口の準工業地域にある平屋の工場・倉庫です。動力電源の容量に余裕があり、製造ラインの設置にも対応できます。敷地内に大型車の駐車スペースを確保しています。
CMP-1031,藤沢駅南口 1階店舗（角地）,賃貸,店舗,募集中,神奈川県,藤沢市,神奈川県藤沢市南藤沢,JR東海道線|藤沢|6;小田急江ノ島線|藤沢|5,520000,38000,10,0,,,,2年（定期借家）,24,1F,4,2016,RC造,,,,,,1階路面;飲食可;看板設置可,飲食店;物販;サービス,2026年9月,2026-07-15,藤沢駅南口の商店街にある角地の1階店舗です。二面接道で視認性が高く、テラス席の設置についても相談可能です。周辺は休日の人通りが多いエリアです。
CMP-1032,松戸 オフィス 4F（駅直結ビル）,賃貸,オフィス,募集中,千葉県,松戸市,千葉県松戸市本町,JR常磐線|松戸|2;新京成線|松戸|2,385000,28000,8,0,,,,5年（定期借家）,32,4F,9,2007,S造,,,,,,駅徒歩5分以内;エレベーターあり;空調更新済,事務所,即入居可,2026-07-12,松戸駅から徒歩2分のオフィスビルです。常磐線で都心へ直結しながら賃料水準を抑えられるため、バックオフィスや営業拠点の設置に向いています。
CMP-2011,横浜関内 一棟オフィスビル（満室稼働中）,売買,一棟ビル,募集中,神奈川県,横浜市,神奈川県横浜市中区尾上町三丁目35番地,JR根岸線|関内|4;横浜市営地下鉄|関内|5,,,,,720000000,5.4,所有権,,310,1F-7F,7,2003,SRC造,近隣商業地域,80,400,,,駅徒歩5分以内;エレベーターあり;24時間利用可,事務所;店舗,相談,2026-07-31,関内駅から徒歩4分の一棟オフィスビルです。現況は満室稼働で、事務所テナント中心に長期入居が続いています。レントロールと修繕履歴は個別にご開示します。
CMP-2012,千葉中央 一棟店舗ビル（テナント付き）,売買,一棟ビル,募集中,千葉県,千葉市,千葉県千葉市中央区富士見二丁目,JR総武線|千葉|7;京成千葉線|京成千葉|5,,,,,298000000,7.2,所有権,,142,1F-5F,5,1997,RC造,近隣商業地域,80,300,,,1階路面;飲食可;深夜営業可;看板設置可,飲食店;店舗,相談,2026-07-26,千葉駅からの動線上、繁華街に立地する5層の店舗ビルです。各階に飲食テナントが入居しており、利回りは7%台。外壁は改修済みで、当面の大規模修繕は想定していません。
CMP-2013,越谷 事業用地（約310坪・建築条件なし）,売買,事業用地,募集中,埼玉県,越谷市,埼玉県越谷市大字大房,東武スカイツリーライン|北越谷|16,,,,,268000000,0,所有権,,310,—,0,,更地,準工業地域,60,300,なし,,駐車場あり,事業用建物;店舗;倉庫,即引渡し可,2026-07-23,県道に接道する約310坪の整形地です。建築条件はなく、ロードサイド店舗・物流拠点・事業所いずれの用途にも対応できます。分割での検討も相談可能です。
CMP-2014,相模原 倉庫（自社利用向け・圏央道近接）,売買,倉庫・工場,募集中,神奈川県,相模原市,神奈川県相模原市中央区田名,JR相模線|上溝|22,,,,,412000000,6.1,所有権,,480,1F-2F,2,2009,S造,準工業地域,60,300,,,24時間利用可;駐車場あり,倉庫;工場;軽作業,2026年11月,2026-07-20,圏央道相模原愛川ICに近い倉庫です。首都圏全域への配送拠点として使いやすく、自社取得のほか賃貸運用も想定できます。天井高と床荷重は資料でご確認ください。
CMP-1033,立川駅北口 1階路面店舗（飲食可）,賃貸,店舗,募集中,東京都,立川市,東京都立川市曙町二丁目1番1号,JR中央線|立川|4;多摩都市モノレール|立川北|3,680000,48000,10,0,,,,3年（普通借家）,29.5,1F,7,2009,SRC造,,,,,,1階路面;飲食可;駅徒歩5分以内;看板設置可,飲食店;物販,即入居可,2026-08-02,立川駅北口のサンサンロード沿いに面した1階路面店舗です。駅と大型商業施設をつなぐ動線上にあり、平日・休日ともに歩行者通行量が安定しています。多摩地区で最も商業集積が進んだエリアです。
CMP-1034,吉祥寺 サンロード近接 店舗（居抜き）,賃貸,店舗,募集中,東京都,武蔵野市,東京都武蔵野市吉祥寺本町一丁目11番5号,JR中央線|吉祥寺|4;京王井の頭線|吉祥寺|4,560000,40000,10,1,,,,5年（定期借家）,21,2F,5,2001,RC造,,,,,,居抜き;飲食可;駅徒歩5分以内,飲食店;サービス,即入居可,2026-07-30,吉祥寺サンロード商店街からすぐの2階店舗です。カフェ業態の居抜きで、厨房設備と客席をそのまま引き継げます。住みたい街ランキング上位の街で、平日夜と休日の集客が見込めます。
CMP-1035,町田駅前 オフィス 5F（分割可）,賃貸,オフィス,募集中,東京都,町田市,東京都町田市原町田六丁目,JR横浜線|町田|5;小田急小田原線|町田|6,420000,32000,8,0,,,,5年（定期借家）,38,5F,9,2006,S造,,,,,,駅徒歩5分以内;エレベーターあり;空調更新済,事務所,2026年9月,2026-07-28,町田駅前のオフィスビル5階です。神奈川県北部と多摩地区の両方をカバーできる立地で、営業拠点に適します。半区画での分割賃貸も相談可能です。
CMP-1036,八王子 倉庫（幹線道路沿い）,賃貸,倉庫・工場,募集中,東京都,八王子市,東京都八王子市石川町,JR八高線|北八王子|14,890000,0,6,0,,,,2年（普通借家）,310,1F-2F,2,2008,S造,,,,,,24時間利用可;駐車場あり,倉庫;軽作業;事務所,即入居可,2026-07-25,国道16号に近い八王子の倉庫です。中央道八王子ICへのアクセスが良く、多摩地区・神奈川県北部への配送拠点として使えます。1階が保管・荷捌き、2階が事務所と休憩室です。
CMP-1037,三鷹駅前 セットアップオフィス 4F,賃貸,オフィス,商談中,東京都,三鷹市,東京都三鷹市下連雀三丁目,JR中央線|三鷹|3,365000,28000,8,0,,,,2年（普通借家）,27.5,4F,8,2014,S造,,,,,,セットアップ;駅徒歩5分以内;エレベーターあり;24時間利用可,事務所,相談,2026-07-22,三鷹駅南口すぐのセットアップオフィスです。会議室1室と執務席20席が施工済みで、内装工事なしで入居できます。新宿まで直通で、都心オフィスの分室としても検討しやすい規模です。
CMP-2015,府中 一棟オフィスビル（駅近・満室）,売買,一棟ビル,募集中,東京都,府中市,東京都府中市宮西町一丁目,京王線|府中|4,,,,,385000000,6.3,所有権,,168,1F-5F,5,2002,RC造,近隣商業地域,80,400,,,駅徒歩5分以内;エレベーターあり;1階路面,事務所;店舗,相談,2026-07-29,府中駅から徒歩4分の一棟オフィスビルです。1階は路面店舗、2階以上は事務所として満室稼働しています。多摩地区の行政・商業の中心で、テナント需要が安定したエリアです。
